¿Estás embarazada y te cuesta recordar las cosas? La ciencia halla una explicación para la "mamnesia"||https://www.dw.com/es/¿estás-embarazada-y-te-cuesta-recordar-las-cosas-la-ciencia-halla-una-explicación-para-la-mamnesia/a-79379228?maca=spa-rss-sp-cyt-1012-rdf||DW Español||La "mamnesia" tiene una explicación biológica. Científicos hallaron que los altos niveles de estrógeno alteran la conexión entre el hipotálamo y el hipocampo, causando pérdidas de memoria temporales en la gestación.||ciencia y tecnología||2026-09-22T12:13:00-05:00
Gregorio Pernía sufrió un intento de robo durante un encuentro con seguidores: todo quedó registrado por una cámara||https://www.infobae.com/colombia/2026/09/23/gregorio-pernia-sufrio-un-intento-de-robo-durante-un-encuentro-con-seguidores-todo-quedo-registrado-por-una-camara/||Infobae||Las imágenes difundidas en redes sociales muestran al actor apartándose de una aglomeración después de detectar un forcejeo por la cadena que llevaba puesta||general||2026-09-23T11:03:20-05:00
Kevin Viveros se pone la vara alta en la Selección Colombia y espera ser la solución en el ataque de Néstor Lorenzo: 'Vengo a aportar goles'||https://www.eltiempo.com/deportes/futbol-internacional/kevin-viveros-se-pone-alta-la-vara-en-la-seleccion-colombia-y-espera-ser-la-solucion-en-el-ataque-de-nestor-lorenzo-vengo-a-aportar-goles-3588208||El Tiempo||El artillero de Athletico Paranaense vive su primera experiencia en el elenco nacional.||deportes||2026-09-23T09:17:10-05:00
Gobierno cambiará protocolos para bloquear comunicaciones delictivas desde las cárceles||https://www.eltiempo.com/economia/sectores/gobierno-cambiara-protocolos-para-bloquear-comunicaciones-delictivas-desde-las-carceles-3588218||El Tiempo||El Ministerio TIC busca reducir los tiempos de respuesta y mejorar la trazabilidad de llamadas y mensajes usados para cometer delitos.||economia||2026-09-23T09:15:09-05:00
La Bolsa española baja el 0,62 % tras el ascenso del crudo y el rendimiento de la deuda||https://www.infobae.com/espana/agencias/2026/09/23/la-bolsa-espanola-baja-el-062-tras-el-ascenso-del-crudo-y-el-rendimiento-de-la-deuda/||Infobae||||general||2026-09-23T11:03:10-05:00
Achraf Hakimi, contra las cuerdas: la estrella del PSG es enviado a juicio en Francia por presunto caso de abuso sexual||https://www.eltiempo.com/deportes/futbol-internacional/achraf-hakimi-contra-las-cuerdas-la-estrella-del-psg-es-enviado-a-juicio-en-francia-por-presunto-caso-de-abuso-sexual-3588223||El Tiempo||Una joven acusó al internacional marroquí de besarla y abusar de ella en su mansión cerca de París.||deportes||2026-09-23T08:57:16-05:00
Sumar exige que el Gobierno apruebe el decreto de vivienda que hubiera evitado el desahucio de Maricarmen junto al escudo social||https://elpais.com/economia/2026-09-23/sumar-exige-que-el-gobierno-apruebe-el-decreto-de-vivienda-junto-con-el-escudo-anticrisis-la-proxima-semana.html||El País||Ernest Urtasun sostiene que la normativa habría sorteado el lanzamiento ocurrido hoy en Madrid y pide que se apruebe la moratoria la próxima semana||economia||2026-09-23T09:13:43-05:00
Los errores más comunes al mantener un vehículo híbrido, según experto||https://www.infobae.com/tecno/2026/09/23/los-errores-mas-comunes-al-mantener-un-vehiculo-hibrido-segun-experto/||Infobae||Uno de los errores más frecuentes entre nuevos propietarios es suponer que un híbrido demanda menos mantenimiento por combinar motor eléctrico y de combustión||general||2026-09-23T11:02:58-05:00
Javier Aguirre regresa a LaLiga: el mexicano fue confirmado como nuevo entrenador del Valencia hasta 2027||https://www.eltiempo.com/deportes/futbol-internacional/javier-aguirre-regresa-a-laliga-el-mexicano-fue-confirmado-como-nuevo-entrenador-del-valencia-hasta-3588212||El Tiempo||El veterano DT asumirá el cargo tras la salida de Carlos Corberán y tendrá tres semanas para preparar su debut ante el Racing de Santander.||deportes||2026-09-23T08:19:35-05:00
De qué depende el salario mínimo del 2027: los principales factores que se barajan para la discusión||https://www.eltiempo.com/economia/sectores/salario-minimo-de-2027-los-criterios-tecnicos-que-entraran-en-la-discusion-de-empresarios-y-trabajadores-3588127||El Tiempo||Las posiciones que plantean los gremios, economistas y sindicalistas para la negociación que se aproxima.||economia||2026-09-23T08:20:38-05:00
